Title,URL,Tag String,Number of Works
Marvel,https://archiveofourown.org/tags/Marvel/works,Marvel,242813
Marvel Cinematic Universe,https://archiveofourown.org/tags/Marvel%20Cinematic%20Universe/works,Marvel%20Cinematic%20Universe,197266
Harry Potter - J. K. Rowling,https://archiveofourown.org/tags/Harry%20Potter%20-%20J*d*%20K*d*%20Rowling/works,Harry%20Potter%20-%20J*d*%20K*d*%20Rowling,160166
The Avengers - Ambiguous Fandom,https://archiveofourown.org/tags/The%20Avengers%20-%20Ambiguous%20Fandom/works,The%20Avengers%20-%20Ambiguous%20Fandom,108484
DCU,https://archiveofourown.org/tags/DCU/works,DCU,107851
The Avengers (Marvel) - All Media Types,https://archiveofourown.org/tags/The%20Avengers%20(Marvel)%20-%20All%20Media%20Types/works,The%20Avengers%20(Marvel)%20-%20All%20Media%20Types,105657
The Avengers (Marvel Movies),https://archiveofourown.org/tags/The%20Avengers%20(Marvel%20Movies)/works,The%20Avengers%20(Marvel%20Movies),89563
Star Wars - All Media Types,https://archiveofourown.org/tags/Star%20Wars%20-%20All%20Media%20Types/works,Star%20Wars%20-%20All%20Media%20Types,64645
Captain America - All Media Types,https://archiveofourown.org/tags/Captain%20America%20-%20All%20Media%20Types/works,Captain%20America%20-%20All%20Media%20Types,61279
Captain America (Movies),https://archiveofourown.org/tags/Captain%20America%20(Movies)/works,Captain%20America%20(Movies),54744
TOLKIEN J. R. R. - Works & Related Fandoms,https://archiveofourown.org/tags/TOLKIEN%20J*d*%20R*d*%20R*d*%20-%20Works%20*a*%20Related%20Fandoms/works,TOLKIEN%20J*d*%20R*d*%20R*d*%20-%20Works%20*a*%20Related%20Fandoms,53332
Dragon Age - All Media Types,https://archiveofourown.org/tags/Dragon%20Age%20-%20All%20Media%20Types/works,Dragon%20Age%20-%20All%20Media%20Types,52329
Star Trek,https://archiveofourown.org/tags/Star%20Trek/works,Star%20Trek,49672
Arthurian Mythology & Related Fandoms,https://archiveofourown.org/tags/Arthurian%20Mythology%20*a*%20Related%20Fandoms/works,Arthurian%20Mythology%20*a*%20Related%20Fandoms,31881
Star Wars Sequel Trilogy,https://archiveofourown.org/tags/Star%20Wars%20Sequel%20Trilogy/works,Star%20Wars%20Sequel%20Trilogy,30484
Thor - All Media Types,https://archiveofourown.org/tags/Thor%20-%20All%20Media%20Types/works,Thor%20-%20All%20Media%20Types,30404
The Hobbit - All Media Types,https://archiveofourown.org/tags/The%20Hobbit%20-%20All%20Media%20Types/works,The%20Hobbit%20-%20All%20Media%20Types,28174
Batman - All Media Types,https://archiveofourown.org/tags/Batman%20-%20All%20Media%20Types/works,Batman%20-%20All%20Media%20Types,27466
Thor (Movies),https://archiveofourown.org/tags/Thor%20(Movies)/works,Thor%20(Movies),26936
X-Men - All Media Types,https://archiveofourown.org/tags/X-Men%20-%20All%20Media%20Types/works,X-Men%20-%20All%20Media%20Types,25166
Star Trek: Alternate Original Series (Movies),https://archiveofourown.org/tags/Star%20Trek:%20Alternate%20Original%20Series%20(Movies)/works,Star%20Trek:%20Alternate%20Original%20Series%20(Movies),24685
Transformers - All Media Types,https://archiveofourown.org/tags/Transformers%20-%20All%20Media%20Types/works,Transformers%20-%20All%20Media%20Types,24001
Disney - All Media Types,https://archiveofourown.org/tags/Disney%20-%20All%20Media%20Types/works,Disney%20-%20All%20Media%20Types,22567
X-Men (Movieverse),https://archiveofourown.org/tags/X-Men%20(Movieverse)/works,X-Men%20(Movieverse),20933
The Shadowhunter Chronicles - All Media Types,https://archiveofourown.org/tags/The%20Shadowhunter%20Chronicles%20-%20All%20Media%20Types/works,The%20Shadowhunter%20Chronicles%20-%20All%20Media%20Types,20263
The Lord of the Rings - All Media Types,https://archiveofourown.org/tags/The%20Lord%20of%20the%20Rings%20-%20All%20Media%20Types/works,The%20Lord%20of%20the%20Rings%20-%20All%20Media%20Types,19325
Iron Man (Movies),https://archiveofourown.org/tags/Iron%20Man%20(Movies)/works,Iron%20Man%20(Movies),19171
Hannibal Lecter Series - All Media Types,https://archiveofourown.org/tags/Hannibal%20Lecter%20Series%20-%20All%20Media%20Types/works,Hannibal%20Lecter%20Series%20-%20All%20Media%20Types,18148
Mass Effect - All Media Types,https://archiveofourown.org/tags/Mass%20Effect%20-%20All%20Media%20Types/works,Mass%20Effect%20-%20All%20Media%20Types,17212
The Hobbit (Jackson Movies),https://archiveofourown.org/tags/The%20Hobbit%20(Jackson%20Movies)/works,The%20Hobbit%20(Jackson%20Movies),15655
Percy Jackson and the Olympians & Related Fandoms - All Media Types,https://archiveofourown.org/tags/Percy%20Jackson%20and%20the%20Olympians%20*a*%20Related%20Fandoms%20-%20All%20Media%20Types/works,Percy%20Jackson%20and%20the%20Olympians%20*a*%20Related%20Fandoms%20-%20All%20Media%20Types,15066
X-Men (Alternate Timeline Movies),https://archiveofourown.org/tags/X-Men%20(Alternate%20Timeline%20Movies)/works,X-Men%20(Alternate%20Timeline%20Movies),14018
Star Wars: Rebellion Era - All Media Types,https://archiveofourown.org/tags/Star%20Wars:%20Rebellion%20Era%20-%20All%20Media%20Types/works,Star%20Wars:%20Rebellion%20Era%20-%20All%20Media%20Types,13884
Superman - All Media Types,https://archiveofourown.org/tags/Superman%20-%20All%20Media%20Types/works,Superman%20-%20All%20Media%20Types,12590
Star Wars: Rise of Empire Era - All Media Types,https://archiveofourown.org/tags/Star%20Wars:%20Rise%20of%20Empire%20Era%20-%20All%20Media%20Types/works,Star%20Wars:%20Rise%20of%20Empire%20Era%20-%20All%20Media%20Types,11697
Spider-Man - All Media Types,https://archiveofourown.org/tags/Spider-Man%20-%20All%20Media%20Types/works,Spider-Man%20-%20All%20Media%20Types,10890
Percy Jackson and the Olympians - Rick Riordan,https://archiveofourown.org/tags/Percy%20Jackson%20and%20the%20Olympians%20-%20Rick%20Riordan/works,Percy%20Jackson%20and%20the%20Olympians%20-%20Rick%20Riordan,10705
Hunger Games Series - All Media Types,https://archiveofourown.org/tags/Hunger%20Games%20Series%20-%20All%20Media%20Types/works,Hunger%20Games%20Series%20-%20All%20Media%20Types,9409
James Bond - All Media Types,https://archiveofourown.org/tags/James%20Bond%20-%20All%20Media%20Types/works,James%20Bond%20-%20All%20Media%20Types,9146
James Bond (Movies),https://archiveofourown.org/tags/James%20Bond%20(Movies)/works,James%20Bond%20(Movies),8924
Inception (2010),https://archiveofourown.org/tags/Inception%20(2010)/works,Inception%20(2010),8788
Star Trek: The Original Series,https://archiveofourown.org/tags/Star%20Trek:%20The%20Original%20Series/works,Star%20Trek:%20The%20Original%20Series,8614
James Bond (Craig movies),https://archiveofourown.org/tags/James%20Bond%20(Craig%20movies)/works,James%20Bond%20(Craig%20movies),8393
Star Wars Prequel Trilogy,https://archiveofourown.org/tags/Star%20Wars%20Prequel%20Trilogy/works,Star%20Wars%20Prequel%20Trilogy,8099
Kingsman (Movies),https://archiveofourown.org/tags/Kingsman%20(Movies)/works,Kingsman%20(Movies),7820
Pacific Rim (Movies),https://archiveofourown.org/tags/Pacific%20Rim%20(Movies)/works,Pacific%20Rim%20(Movies),7787
Guardians of Childhood & Related Fandoms,https://archiveofourown.org/tags/Guardians%20of%20Childhood%20*a*%20Related%20Fandoms/works,Guardians%20of%20Childhood%20*a*%20Related%20Fandoms,7010
Rise of the Guardians (2012),https://archiveofourown.org/tags/Rise%20of%20the%20Guardians%20(2012)/works,Rise%20of%20the%20Guardians%20(2012),6986
Fantastic Beasts and Where to Find Them (Movies),https://archiveofourown.org/tags/Fantastic%20Beasts%20and%20Where%20to%20Find%20Them%20(Movies)/works,Fantastic%20Beasts%20and%20Where%20to%20Find%20Them%20(Movies),6416
Assassin's Creed - All Media Types,https://archiveofourown.org/tags/Assassin's%20Creed%20-%20All%20Media%20Types/works,Assassin's%20Creed%20-%20All%20Media%20Types,6249
Twilight Series - All Media Types,https://archiveofourown.org/tags/Twilight%20Series%20-%20All%20Media%20Types/works,Twilight%20Series%20-%20All%20Media%20Types,6181
